,Case Number,Project Names,Amount,Date,Beneficiaries,Beneficiary type,Number of donations,Partner,Location,Details URL
945,P48075,كسوة الأسر المحتاجة,"99,000ر.س",03/04/2024,495,المواطنون,"7,785",جمعية كسوة الكاسي,أبي عريش,https://ehsan.sa/projects/0/47076?amount=null
946,P48085,توفير الأجهزة الكهربائية للمحتاجين,"260,000ر.س",03/04/2024,40,المواطنون,"7,974",جمعية عطاء ونماء لتنمية مساكن,الرياض,https://ehsan.sa/projects/0/47086?amount=null
947,P48099,عملية إزالة أورام ليفية لمريضة متعففة,"22,310ر.س",03/04/2024,1,المقيمون بالمملكة,768,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47100?amount=null
948,P48077,رعاية كبار السن المتعففين,"268,800ر.س",03/04/2024,32,المواطنون,"14,487",جمعية البر الخيرية بتندحة,تندحة,https://ehsan.sa/projects/0/47078?amount=null
949,P48084,وجبات الإفطار في ساحات الحرم المكي,"200,000ر.س",03/04/2024,"20,000",المواطنون والمقيمون بالمملكة,"8,442",جمعية البر الخيرية بثول,مكة المكرمة,https://ehsan.sa/projects/0/47085?amount=null
950,P48060,سقيا الماء لضيوف الرحمن,"500,000ر.س",03/04/2024,"500,000",المواطنون والمقيمون بالمملكة,"36,299",واعد للتنمية الاجتماعية,مكة المكرمة,https://ehsan.sa/projects/0/47061?amount=null
951,P47888,سقيا الماء للأسر المتعففة,"123,500ر.س",03/04/2024,190,المواطنون والمقيمون بالمملكة,"11,631",جمعية البر والخدمات الاجتماعية بمركز صفينه,صفينة,https://ehsan.sa/projects/0/46889?amount=null
952,P48088,إزالة أورام في الرحم لمريضة متعففة,"23,000ر.س",03/04/2024,1,المقيمون بالمملكة,"1,287",جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47089?amount=null
953,P48056,كفالة مرضى الفشل الكلوي,"132,480ر.س",03/04/2024,3,المقيمون بالمملكة,"4,889",جمعية الكوثر الصحية بعسير,أبها,https://ehsan.sa/projects/0/47057?amount=null
954,P47641,ترميم مساكن الأسر المحتاجة,"285,000ر.س",03/04/2024,3,المواطنون,"14,697",جمعية ذات النطاقين النسائية الخيرية بمحايل عسير,محايل عسير,https://ehsan.sa/projects/0/46642?amount=null
955,P48087,حالة طارئة لمصاب غرغرينا,"43,320ر.س",03/04/2024,1,المقيمون بالمملكة,"2,469",جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47088?amount=null
956,P48086,إزالة ورم قولون لمريض متعفف,"45,887ر.س",03/04/2024,1,المقيمون بالمملكة,"2,033",جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47087?amount=null
957,P48069,وجبات السحور في بيت الله الحرام,"400,000ر.س",02/04/2024,"26,666",المواطنون والمقيمون بالمملكة,"31,745",جمعية التنمية الأهلية بالأبواء,الأبواء,https://ehsan.sa/projects/0/47070?amount=null
958,P48074,دعم المقبلين على الزواج,"20,000ر.س",02/04/2024,2,المواطنون,385,جمعية البر بمركز الفقعلي,الفقعلى,https://ehsan.sa/projects/0/47075?amount=null
959,P48073,دعم المقبلين على الزواج,"100,000ر.س",02/04/2024,10,المواطنون,"4,263",جمعية البر الخيرية بجلاجل,جلاجل,https://ehsan.sa/projects/0/47074?amount=null
960,P48070,وجبات إفطار الصائمين,"500,000ر.س",02/04/2024,"71,429",المواطنون والمقيمون بالمملكة,"38,884",جمعية إكرام عابري السبيل,الرياض,https://ehsan.sa/projects/0/47071?amount=null
961,P48055,دعم الأسر المتعففة,"250,000ر.س",02/04/2024,125,المواطنون,"5,963",جمعية الريان الخيرية بوادي جازان,الريان,https://ehsan.sa/projects/0/47056?amount=null
962,P48058,عملية جراحية عاجلة لمريض مصاب بالغرغرينا,"34,500ر.س",02/04/2024,1,المقيمون بالمملكة,656,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47059?amount=null
963,P47903,كسوة الأسر المتعففة,"203,200ر.س",02/04/2024,254,المواطنون,"12,929",جمعية البر الخيرية بلينة,لينة,https://ehsan.sa/projects/0/46904?amount=null
964,P47731,كفالة رواتب معلمي ومعلمات حلقات تحفيظ القرآن الكريم,"294,000ر.س",02/04/2024,49,المواطنون,"16,294",الجمعية الخيرية لتحفيظ القرآن الكريم بالخبراء,الخبراء,https://ehsan.sa/projects/0/46732?amount=null
965,P48066,سقيا الماء,"240,000ر.س",02/04/2024,800,المواطنون,"22,252",جمعية التنمية الأهلية بالجنينة,بيشة,https://ehsan.sa/projects/0/47067?amount=null
966,P47694,ترميم مساكن الأسر المحتاجة,"300,000ر.س",02/04/2024,6,المواطنون,"12,387",جمعية بناء وتنمية مساكن,جازان,https://ehsan.sa/projects/0/46695?amount=null
967,P48057,عملية تنظيف أورام لمريضة متعففة,"36,000ر.س",02/04/2024,1,المقيمون بالمملكة,"1,965",جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47058?amount=null
968,P48037,دعم حلقات تحفيظ القرآن الكريم,"127,500ر.س",02/04/2024,300,المواطنون,"7,999",جمعية تحفيظ القرآن الكريم بكحلا,كحلا,https://ehsan.sa/projects/0/47038?amount=null
969,P48003,الرعاية الصحية لكبار السن,"80,000ر.س",02/04/2024,40,المواطنون,"3,980",جمعية التنمية الأهلية بالثنية,بيشة,https://ehsan.sa/projects/0/47004?amount=null
970,P48043,كفالة الأرامل والمطلقات,"300,960ر.س",02/04/2024,44,المواطنون,"12,943",جمعية البر الخيرية بالربوعة,الربوعة,https://ehsan.sa/projects/0/47044?amount=null
971,P48053,وجبات السحور في ساحات الحرم المكي,"510,000ر.س",02/04/2024,"34,000",المواطنون والمقيمون بالمملكة,"39,292",جمعية البر الخيرية بالعطيف,مكة المكرمة,https://ehsan.sa/projects/0/47054?amount=null
972,P47883,السلال الغذائية الرمضانية,"258,720ر.س",02/04/2024,784,المواطنون,"13,114",جمعية البر الخيرية بالليث,الليث,https://ehsan.sa/projects/0/46884?amount=null
973,P47945,تيسير نقل المرضى المتعففين,"210,000ر.س",02/04/2024,60,المواطنون والمقيمون بالمملكة,"12,791",جمعية طريحي الفراش,جدة,https://ehsan.sa/projects/0/46946?amount=null
974,P47709,غرس الأشجار لمكافحة التصحر,"148,750ر.س",02/04/2024,"2,975",المواطنون والمقيمون بالمملكة,"12,890",جمعية التنمية الأهلية بباشوت,باشوت,https://ehsan.sa/projects/0/46710?amount=null
975,P47561,طباعة المصاحف,"3,450,000ر.س",02/04/2024,"150,000",المواطنون والمقيمون بالمملكة,"216,181",مجمع الملك فهد لطباعة المصحف الشريف بالمدينة المنورة,المدينة المنورة,https://ehsan.sa/projects/0/46562?amount=null
976,P48020,إعانة أسر السجناء,"102,500ر.س",02/04/2024,41,المواطنون,"5,095",جمعية كسوة الكاسي,أبي عريش,https://ehsan.sa/projects/0/47021?amount=null
977,P48054,رحلات العمرة للمحتاجين,"129,250ر.س",02/04/2024,517,المواطنون والمقيمون بالمملكة,"9,757",جمعية الدعوة والإرشاد وتوعية الجاليات بإمباري,عقلة الصقور,https://ehsan.sa/projects/0/47055?amount=null
978,P48035,سداد إيجار منازل الأسر المتعففة,"350,000ر.س",02/04/2024,35,المواطنون,"18,252",الجمعية الخيرية بمحافظة بدر,بدر,https://ehsan.sa/projects/0/47036?amount=null
979,P47856,كسوة الأسر المتعففة,"199,000ر.س",02/04/2024,199,المواطنون,"11,352",جمعية النخيل الخيرية,النخيل,https://ehsan.sa/projects/0/46857?amount=null
980,P48032,تغطية تكاليف الولادة للمحتاجين,"200,000ر.س",02/04/2024,40,المقيمون بالمملكة,"5,856",جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47033?amount=null
981,P48028,رحلات العمرة للمحتاجين,"50,000ر.س",02/04/2024,100,المواطنون,"3,722",نجباء لرعاية الأيتام بالفرشة,الفرشة,https://ehsan.sa/projects/0/47029?amount=null
982,P48013,بناء جامع,"4,800,000ر.س",02/04/2024,480,المواطنون والمقيمون بالمملكة,"300,818",جمعية العناية بمساجد الطرق,الخالدية,https://ehsan.sa/projects/0/47014?amount=null
983,P48049,وجبات إفطار الصائمين,"199,995ر.س",02/04/2024,"13,333",المواطنون والمقيمون بالمملكة,"10,814",جمعية دعم لرعاية المطلقات والأرامل,مكة المكرمة,https://ehsan.sa/projects/0/47050?amount=null
984,P48018,كفالة مرضى الفشل الكلوي,"132,480ر.س",01/04/2024,3,المقيمون بالمملكة,"4,771",جمعية الكوثر الصحية بعسير,أبها,https://ehsan.sa/projects/0/47019?amount=null
985,P48052,وجبات الإفطار في ساحات الحرم المكي,"500,000ر.س",01/04/2024,"71,429",المواطنون والمقيمون بالمملكة,"23,548",جمعية إكرام عابري السبيل,مكة المكرمة,https://ehsan.sa/projects/0/47053?amount=null
