,Case Number,Project Names,Amount,Date,Beneficiaries,Beneficiary type,Number of donations,Partner,Location,Details URL
0,P49631,وجبات الإفطار في ساحات الحرم المكي,"300,000ر.س",07/03/2025,"20,000",المواطنون والمقيمون بالمملكة,"16,226",جمعية البر الخيرية بالأبواء,مكة المكرمة,https://ehsan.sa/projects/0/48632?amount=null
1,P49553,وجبات السحور للصائمين,"280,000ر.س",07/03/2025,"20,000",المواطنون والمقيمون بالمملكة,"24,403",جمعية البر الخيرية بالنويعمة,وادى الدواسر,https://ehsan.sa/projects/0/48554?amount=null
2,P49625,وجبات الإفطار لضيوف الرحمن,"300,000ر.س",07/03/2025,"30,000",المواطنون والمقيمون بالمملكة,"11,930",جمعية البر الخيرية بالحوية,السيل الكبير,https://ehsan.sa/projects/0/48626?amount=null
3,P49618,ترميم مساكن المتعففين,"300,000ر.س",07/03/2025,11,المواطنون,"9,378",الجمعية الخيرية ببللحمر,باللحمر,https://ehsan.sa/projects/0/48619?amount=null
4,P49626,عملية في العمود الفقري لمريضة متعففة,"24,000ر.س",07/03/2025,1,المقيمون بالمملكة,145,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/48627?amount=null
5,P49624,إفطار الصائمين,"123,615ر.س",07/03/2025,"30,000",المواطنون والمقيمون بالمملكة,"6,391",المكتب للدعوة والارشاد وتوعية الجاليات برفحاء,رفحاء,https://ehsan.sa/projects/0/48625?amount=null
6,P49584,سقيا الماء للأسر المتعففة,"300,000ر.س",07/03/2025,"300,000",المواطنون والمقيمون بالمملكة,"26,966",جمعية حفظ النعمة بمنطقة مكة المكرمة,جدة,https://ehsan.sa/projects/0/48585?amount=null
7,P49623,عملية في الفقرات العنقية لمريض متعفف,"25,000ر.س",07/03/2025,1,المقيمون بالمملكة,355,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/48624?amount=null
8,P49614,كفالة كبار السن المحتاجين,"282,000ر.س",07/03/2025,141,المواطنون,"6,453",جمعية البر الخيرية برهاط,ارهاط,https://ehsan.sa/projects/0/48615?amount=null
9,P49617,وجبات الإفطار لضيوف الرحمن,"378,000ر.س",07/03/2025,"42,000",المواطنون والمقيمون بالمملكة,"20,054",جمعية البر للخدمات الاجتماعية بمركز الأكحل,المدينة المنورة,https://ehsan.sa/projects/0/48618?amount=null
10,P49616,وجبات الإفطار للصائمين,"216,000ر.س",06/03/2025,"18,000",المواطنون والمقيمون بالمملكة,"15,259",جمعية إكرام النعم بمحافظة الرس,الرس,https://ehsan.sa/projects/0/48617?amount=null
11,P49441,دعم المقبلين على الزواج,"360,000ر.س",06/03/2025,36,المواطنون,"25,733",الجمعية الخيرية لتيسير الزواج والرعاية الأسرية بعنيزة تآلف,عنيزة,https://ehsan.sa/projects/0/48442?amount=null
12,P49619,وجبات الإفطار للصائمين,"100,000ر.س",06/03/2025,"12,500",المواطنون والمقيمون بالمملكة,"4,488",سخاء لإكرام ضيوف الرحمن,المدينة المنورة,https://ehsan.sa/projects/0/48620?amount=null
13,P49571,وجبات إفطار الصائمين,"225,000ر.س",05/03/2025,"15,000",المقيمون بالمملكة,"12,858",جمعية الدعوة والارشاد وتوعية الجاليات بنخال,نخال,https://ehsan.sa/projects/0/48572?amount=null
14,P49492,إكرام الموتى,"70,000ر.س",05/03/2025,686,المواطنون والمقيمون بالمملكة,"5,192",جمعية الإحسان لشؤون الموتى بمحافظة وادي الدواسر,وادى الدواسر,https://ehsan.sa/projects/0/48493?amount=null
15,P49589,عملية جراحية لمريضة متعففة,"19,340ر.س",05/03/2025,1,المقيمون بالمملكة,464,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/48590?amount=null
16,P49578,توفير الأدوية للمرضى المتعففين,"377,000ر.س",05/03/2025,205,المواطنون والمقيمون بالمملكة,"9,167",الجمعية الخيرية لتوفير الدواء للجميع بمكة المكرمة,النزهة - مكة المكرمة,https://ehsan.sa/projects/0/48579?amount=null
17,P49577,إفطار الصائمين,"500,000ر.س",05/03/2025,"71,428",المواطنون والمقيمون بالمملكة,"41,122",جمعية إكرام عابري السبيل,الرياض,https://ehsan.sa/projects/0/48578?amount=null
18,P49574,وجبات إفطار الصائمين,"350,000ر.س",05/03/2025,"50,000",المواطنون والمقيمون بالمملكة,"17,441",جمعية إكرام لحفظ النعمة بخميس مشيط,خميس  مشيط,https://ehsan.sa/projects/0/48575?amount=null
19,P49575,سقيا الماء للصائمين,"150,000ر.س",04/03/2025,538,المواطنون,"10,823",جمعية البر الخيرية بوادي ليه,السر,https://ehsan.sa/projects/0/48576?amount=null
20,P49579,السلال الرمضانية للأرامل والمطلقات,"51,200ر.س",04/03/2025,128,المواطنون,473,جمعية ساعي لخدمة الارامل والمطلقات بمركز فضلا,مركز فضلا,https://ehsan.sa/projects/0/48580?amount=null
21,P49573,إفطار الصائمين,"204,000ر.س",04/03/2025,"17,000",المقيمون بالمملكة,"15,396",جمعية الدعوة والارشاد وتوعية الجاليات بالروضة,الرياض,https://ehsan.sa/projects/0/48574?amount=null
22,P49563,جلسات غسيل الكلى,"496,800ر.س",04/03/2025,15,المقيمون بالمملكة,"11,481",جمعية الكوثر الصحية بعسير,أبها,https://ehsan.sa/projects/0/48564?amount=null
23,P49547,سقيا الماء للمتعففين,"200,000ر.س",04/03/2025,"200,000",المواطنون والمقيمون بالمملكة,"19,276",جمعية التنمية الأهلية ببحرة المجاهدين,بحرة,https://ehsan.sa/projects/0/48548?amount=null
24,P49572,وجبات الإفطار لضيوف الرحمن,"100,000ر.س",04/03/2025,"9,000",المواطنون والمقيمون بالمملكة,"8,219",جمعية مائدة الرحمن,مكة المكرمة,https://ehsan.sa/projects/0/48573?amount=null
25,P49479,كفالة رواتب معلمي تحفيظ القرآن الكريم,"90,000ر.س",04/03/2025,10,المواطنون والمقيمون بالمملكة,"6,360",جمعية تحفيظ القرآن الكريم بأم القلبان,حائل,https://ehsan.sa/projects/0/48480?amount=null
26,P49564,مريض متعفف مصاب بالتهاب في مفصل الفخذ,"32,000ر.س",04/03/2025,1,المقيمون بالمملكة,327,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/48566?amount=null
27,P49545,وجبات الإفطار لضيوف الرحمن,"500,000ر.س",03/03/2025,"33,333",المواطنون والمقيمون بالمملكة,"23,815",جمعية أرزاق لحفظ النعمة,مكة المكرمة,https://ehsan.sa/projects/0/48546?amount=null
28,P49498,توفير الأدوية لمرضى السكري,"505,750ر.س",03/03/2025,289,المواطنون والمقيمون بالمملكة,"13,343",جمعية اصدقاء مرضى السكر الخيرية,جدة,https://ehsan.sa/projects/0/48499?amount=null
29,P49520,الكفالة التعليمية للأيتام الجامعيين,"282,000ر.س",03/03/2025,47,المواطنون,"2,712",الجمعية الخيرية لرعاية الأيتام بحائل رفاق,حائل,https://ehsan.sa/projects/0/48521?amount=null
30,P49557,عملية في الرقبة لمريضة متعففة,"26,000ر.س",03/03/2025,1,المقيمون بالمملكة,77,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/48558?amount=null
31,P49452,طباعة ونشر المصاحف,"680,000ر.س",03/03/2025,"40,000",المواطنون والمقيمون بالمملكة,"51,855",مجمع الملك فهد لطباعة المصحف الشريف بالمدينة المنورة,المدينة المنورة,https://ehsan.sa/projects/0/48453?amount=null
32,P49554,السلال الرمضانية للأسر المتعففة,"89,000ر.س",03/03/2025,89,المواطنون,"6,321",جمعية الخدمات الانسانية في نجخ الجنوبي,مركز نجخ - ضريه,https://ehsan.sa/projects/0/48555?amount=null
33,P49524,وجبات إفطار الصائمين,"160,500ر.س",02/03/2025,535,المواطنون والمقيمون بالمملكة,"8,846",جمعية الدعوة والإرشاد وتوعية الجاليات بالعقيق,العقيق,https://ehsan.sa/projects/0/48525?amount=null
34,P49523,سقيا الماء,"129,800ر.س",02/03/2025,100,المواطنون,"10,151",جمعية الثريا للمكفوفين,جازان,https://ehsan.sa/projects/0/48524?amount=null
35,P49521,تأثيث منازل المتعففين,"120,000ر.س",02/03/2025,40,المواطنون,"2,083",جمعية الخدمات الانسانية ببدائع البادية,الحائط,https://ehsan.sa/projects/0/48522?amount=null
36,P49490,السلال الرمضانية للأسر المتعففة,"180,000ر.س",02/03/2025,191,المواطنون,"5,690",جمعية البر الخيرية بمركز العصلة,تربة,https://ehsan.sa/projects/0/48491?amount=null
37,P49491,التكفل بالعمرة للجاليات,"40,000ر.س",02/03/2025,149,المقيمون بالمملكة,"2,363",جمعية الدعوة والإرشاد وتوعية الجاليات بالناصفة,الناصفة - القريات,https://ehsan.sa/projects/0/48492?amount=null
38,P49487,سقيا الماء للأسر المتعففة,"205,000ر.س",02/03/2025,410,المواطنون,"13,086",جمعية التنمية الاهلية بحقال,حقال,https://ehsan.sa/projects/0/48488?amount=null
39,P49481,إفطار الصائمين,"500,000ر.س",01/03/2025,"71,428",المواطنون والمقيمون بالمملكة,"22,036",جمعية إكرام عابري السبيل,الوديعة,https://ehsan.sa/projects/0/48482?amount=null
40,P49382,تأمين أجهزة القوقعة للمتعففين,"360,000ر.س",01/03/2025,6,المواطنون,"15,871",الجمعية الصحية التطوعية في الزلفي,الزلفي,https://ehsan.sa/projects/0/48384?amount=null
41,P49480,السلال الرمضانية للأسر المتعففة,"100,000ر.س",28/02/2025,125,المواطنون والمقيمون بالمملكة,"2,879",عِلم,بيشة,https://ehsan.sa/projects/0/48481?amount=null
42,P49477,وجبات إفطار الصائمين,"192,000ر.س",28/02/2025,400,المواطنون والمقيمون بالمملكة,"7,137",جمعية الدعوة والإرشاد وتوعية الجاليات في سميراء,سميراء,https://ehsan.sa/projects/0/48479?amount=null
43,P49475,عملية في العمود الفقري لطفل,"85,000ر.س",28/02/2025,1,المقيمون بالمملكة,"3,366",جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/48476?amount=null
44,P49420,دعم حلقات تحفيظ القرآن الكريم,"300,000ر.س",28/02/2025,318,المواطنون والمقيمون بالمملكة,"22,133",الجمعية الخيرية لتحفيظ القران الكريم بالمحاني,الطائف,https://ehsan.sa/projects/0/48421?amount=null
45,P49470,وجبات الإفطار للصائمين,"80,000ر.س",28/02/2025,200,المواطنون والمقيمون بالمملكة,"2,349",جمعية حفظ النعمة الخيرية بالبدائع,البدائع,https://ehsan.sa/projects/0/48471?amount=null
46,P49474,عملية لشاب يعاني من التخثر,"25,000ر.س",28/02/2025,1,المقيمون بالمملكة,424,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/48475?amount=null
47,P49352,سقيا الماء لضيوف الرحمن,"500,000ر.س",28/02/2025,"500,000",المواطنون والمقيمون بالمملكة,"31,347",جمعية إكرام لحفظ الطعام,مكة المكرمة,https://ehsan.sa/projects/0/48353?amount=null
48,P49322,السلال الغذائية للأسر المتعففة,"547,200ر.س",27/02/2025,228,المواطنون,"25,057",جمعية الريان الخيرية بوادي جازان,الريان,https://ehsan.sa/projects/0/48323?amount=null
49,P49458,توفير اللحوم للأسر المتعففة,"65,600ر.س",26/02/2025,41,المواطنون,303,جمعية البر الخيرية بالحرجة,الحرجة,https://ehsan.sa/projects/0/48459?amount=null
50,P49384,الأجهزة الطبية لكبار السن,"250,000ر.س",26/02/2025,70,المواطنون والمقيمون بالمملكة,"15,732",جمعية عطاء الطبية بمحافظة صامطة,صامطة,https://ehsan.sa/projects/0/48385?amount=null
51,P49440,عملية تغيير مفصل الركبة لمريضة مسنة,"42,000ر.س",24/02/2025,1,المقيمون بالمملكة,924,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/48441?amount=null
52,P49431,تموين الأسر المتعففة,"79,200ر.س",23/02/2025,165,المواطنون,"3,740",جمعية البر الخيرية بالجفن,الحيسونية,https://ehsan.sa/projects/0/48432?amount=null
53,P49433,وجبات إفطار الصائمين,"198,000ر.س",23/02/2025,"10,000",المواطنون والمقيمون بالمملكة,"5,083",جمعية عطاء لخدمة ضيوف الرحمن,مكة المكرمة,https://ehsan.sa/projects/0/48434?amount=null
54,P49432,سقيا الماء,"180,000ر.س",23/02/2025,"20,000",المواطنون والمقيمون بالمملكة,"16,690",جمعية ماء لخدمات المياه,رياض الخبراء,https://ehsan.sa/projects/0/48433?amount=null
55,P49318,التكفل بالعمرة للمتعففين,"360,000ر.س",23/02/2025,200,المواطنون,"34,476",جمعية أصدقاء لاعبي كرة القدم الخيرية,الرياض,https://ehsan.sa/projects/0/48319?amount=null
56,P49429,العمليات الجراحية للمتعففين,"251,013ر.س",23/02/2025,16,المواطنون والمقيمون بالمملكة,"9,055",جمعية زمزم الصحية,جدة,https://ehsan.sa/projects/0/48430?amount=null
57,P49393,سقيا الماء لضيوف الرحمن,"500,000ر.س",21/02/2025,"500,000",المقيمون بالمملكة,"46,529",جمعية عروى الخيرية,مكة المكرمة,https://ehsan.sa/projects/0/48394?amount=null
58,P49416,سداد إيجار منازل الأسر المتعففة,"250,000ر.س",21/02/2025,50,المواطنون,269,الجمعية الخيرية بالقويعية,القويعية,https://ehsan.sa/projects/0/48417?amount=null
59,P49426,السلال الغذائية للأسر المتعففة,"281,692ر.س",21/02/2025,150,المواطنون,309,الجمعية الخيرية بمركز النجيل,النجيل,https://ehsan.sa/projects/0/48427?amount=null
60,P49427,الأجهزة الكهربائية للمتعففين,"364,000ر.س",20/02/2025,182,المواطنون والمقيمون بالمملكة,8,الجمعية الخيرية ببني سعد,بنى سعد,https://ehsan.sa/projects/0/48428?amount=null
61,P49407,الرعاية الصحية المنزلية للمرضى المتعففين,"654,000ر.س",20/02/2025,218,المواطنون,"13,929",جمعية عناية الصحية,الرياض,https://ehsan.sa/projects/0/48408?amount=null
62,P49421,الأجهزة الكهربائية لأسر الأيتام,"100,000ر.س",20/02/2025,75,المواطنون والمقيمون بالمملكة,"8,188",جمعية رعاية الأيتام بمحافظة الجموم,الجموم,https://ehsan.sa/projects/0/48424?amount=null
63,P49409,سقيا الماء,"60,120ر.س",17/02/2025,167,المواطنون والمقيمون بالمملكة,"6,117",سند الخير للخدمات الأنسانية,جدة,https://ehsan.sa/projects/0/48410?amount=null
64,P49346,علاج وتأهيل ذوي الإعاقة,"252,000ر.س",15/02/2025,24,المواطنون والمقيمون بالمملكة,"13,943",جمعية رعاية المعاقين,طريف,https://ehsan.sa/projects/0/48347?amount=null
65,P49396,السلال الغذائية للأسر المتعففة,"248,850ر.س",15/02/2025,711,المواطنون,"13,581",جمعية التنمية الأهلية بمدينة الروضة,الروضة,https://ehsan.sa/projects/0/48397?amount=null
66,P49397,توفير خزانات المياه للأسر المتعففة,"210,000ر.س",15/02/2025,42,المواطنون,"19,442",جمعية حواء النسائية,عقلة الصقور,https://ehsan.sa/projects/0/48398?amount=null
67,P49357,وجبات الإفطار للصائمين,"150,000ر.س",14/02/2025,500,المقيمون بالمملكة,"9,822",الجمعية الخيرية بالمزاحمية,المزاحمية,https://ehsan.sa/projects/0/48358?amount=null
68,P49394,كسوة الأيتام,"265,000ر.س",14/02/2025,530,المواطنون,"16,902",جمعية الملك فهد الخيرية النسائية,جازان,https://ehsan.sa/projects/0/48395?amount=null
69,P49378,كفالة الأرامل والمطلقات,"324,000ر.س",13/02/2025,108,المواطنون والمقيمون بالمملكة,"15,443",جمعية بكة للخدمات الإنسانية,مكة المكرمة,https://ehsan.sa/projects/0/48379?amount=null
70,P49379,وجبات الإفطار للصائمين,"125,160ر.س",12/02/2025,298,المقيمون بالمملكة,"4,570",جمعية الدعوة والارشاد وتوعية الجاليات في مركز البجادية,البجادية,https://ehsan.sa/projects/0/48380?amount=null
71,P49351,عملية عاجلة لطفل مصاب بسرطان الدم,"273,418ر.س",11/02/2025,1,المقيمون بالمملكة,"6,581",بصمة تفاؤل لمرضى سرطان الاطفال,الرياض,https://ehsan.sa/projects/0/48352?amount=null
72,P49370,كسوة الأسر المتعففة,"189,000ر.س",10/02/2025,189,المواطنون,"15,804",جمعية عمر بن الخطاب الاهلية بالفويلق,الفويلق,https://ehsan.sa/projects/0/48371?amount=null
73,P49364,رعاية كبار السن المتعففين,"300,000ر.س",10/02/2025,402,المواطنون,"19,778",الجمعية الخيرية بالقويعية,القويعية,https://ehsan.sa/projects/0/48365?amount=null
74,P49326,سيارات نقل الجنائز,"100,000ر.س",07/02/2025,"37,608",المواطنون والمقيمون بالمملكة,"7,845",جمعية معاد لشؤون الموتى بالعقيق,العقيق,https://ehsan.sa/projects/0/48327?amount=null
75,P49362,كفالة الأرامل والمطلقات,"120,000ر.س",07/02/2025,10,المواطنون,"5,651",جمعية اليمامة الأهلية,الرياض,https://ehsan.sa/projects/0/48363?amount=null
76,P49330,توفير الأطراف الصناعية للمتعففين,"200,000ر.س",07/02/2025,8,المواطنون,"14,761",جمعية قدرة لرعاية الاشخاص ذوي الإعاقة,الرس,https://ehsan.sa/projects/0/48331?amount=null
77,P49343,سداد إيجار منازل الأسر المتعففة,"296,000ر.س",07/02/2025,37,المواطنون,"17,206",جمعية البر الخيرية بمحافظة حوطة بني تميم,حوطة بني تميم,https://ehsan.sa/projects/0/48344?amount=null
78,P49314,أجهزة تنقية المياه لأسر الأيتام,"99,308ر.س",07/02/2025,95,المواطنون,"6,921",جمعية رعاية الأيتام بمحافظة أضم,أضم,https://ehsan.sa/projects/0/48315?amount=null
79,P49320,كفالة حلقات تحفيظ القرآن الكريم,"182,000ر.س",07/02/2025,52,المواطنون,"15,189",الجمعية الخيرية لتحفيظ القران الكريم في الرس,الرس,https://ehsan.sa/projects/0/48321?amount=null
80,P49340,السلال الغذائية للأسر المتعففة,"250,000ر.س",06/02/2025,350,المواطنون,"17,243",جمعية ليث للانقاذ,نجران,https://ehsan.sa/projects/0/48341?amount=null
81,P49324,التحاليل الطبية للمصابين بالأمراض الوراثية,"50,000ر.س",05/02/2025,74,المقيمون بالمملكة,"4,058",جمعية المدينة لأمراض الدم الوراثية,المدينة المنورة,https://ehsan.sa/projects/0/48325?amount=null
82,P49323,سقيا الماء للأسر المتعففة,"500,000ر.س",05/02/2025,"30,000",المواطنون والمقيمون بالمملكة,"44,583",جمعية إكرام لحفظ النعمة بخميس مشيط,خميس  مشيط,https://ehsan.sa/projects/0/48324?amount=null
83,P49329,كفالة دعاة الجاليات,"42,000ر.س",02/02/2025,2,المقيمون بالمملكة,"3,415",جمعية الدعوة والإرشاد وتوعية الجاليات بمحافظة بلقرن,بلقرن,https://ehsan.sa/projects/0/48330?amount=null
84,P49289,تدريب وتأهيل المتعففين,"100,000ر.س",01/02/2025,50,المواطنون,"7,327",جمعية التنمية الأهلية بمحايل عسير,محايل عسير,https://ehsan.sa/projects/0/48290?amount=null
85,P49301,كسوة الأسر المتعففة,"100,000ر.س",31/01/2025,290,المواطنون والمقيمون بالمملكة,"7,211",صلة للخدمات الانسانية بغرب مكه,مكة المكرمة,https://ehsan.sa/projects/0/48302?amount=null
86,P49201,كفالة حلقات القرآن الكريم,"214,400ر.س",31/01/2025,67,المواطنون,"13,758",جمعية تحفيظ القرآن الكريم بمحافظة بيش,بيش,https://ehsan.sa/projects/0/48202?amount=null
87,P49313,سقيا الماء لضيوف الرحمن,"600,000ر.س",30/01/2025,"600,000",المواطنون والمقيمون بالمملكة,"45,090",جمعية اصدقاء المجتمع الخيرية,مكة المكرمة,https://ehsan.sa/projects/0/48314?amount=null
88,P49298,سداد إيجار منازل الأسر المتعففة,"78,000ر.س",30/01/2025,13,المواطنون,"1,917",جمعية فضلا الخيرية,مركز فضلا,https://ehsan.sa/projects/0/48299?amount=null
89,P49284,الأجهزة الكهربائية للمتعففين,"135,000ر.س",30/01/2025,75,المواطنون,"7,884",جمعية الخدمات الانسانية ببدائع الضبطان,بدائع الضبطان,https://ehsan.sa/projects/0/48285?amount=null
90,P49300,أجهزة التدفئة للأسر المتعففة,"22,500ر.س",29/01/2025,309,المواطنون,"1,293",جمعية البر الخيرية بمركز النقيع,بيشة,https://ehsan.sa/projects/0/48301?amount=null
91,P49288,التكفل بالعمرة للجاليات,"100,000ر.س",29/01/2025,350,المواطنون والمقيمون بالمملكة,"6,717",جمعية الدعوة والإرشاد وتوعية الجاليات,احدالمسارحة,https://ehsan.sa/projects/0/48289?amount=null
92,P49285,كفالة الأرامل والمطلقات,"225,000ر.س",29/01/2025,75,المواطنون,"11,839",جمعية البر الخيرية بمركز فيضة المسلح,الطائف,https://ehsan.sa/projects/0/48286?amount=null
93,P49299,أجهزة التدفئة للأسر المتعففة,"9,180ر.س",29/01/2025,51,المواطنون,534,جمعية الخدمات الإنسانية بمركز المطيوي الجنوبي,المطيوي الجنوبي,https://ehsan.sa/projects/0/48300?amount=null
94,P49277,كفالة حلقات تحفيظ القرآن الكريم,"82,000ر.س",28/01/2025,126,المواطنون والمقيمون بالمملكة,"4,615",جمعية تحفيظ القرآن الكريم بمركز قناء,حائل,https://ehsan.sa/projects/0/48278?amount=null
95,P49273,سداد إيجار منازل الأسر المتعففة,"181,200ر.س",27/01/2025,15,المواطنون,"9,060",جمعية نواره للترميم اتمام,الرياض,https://ehsan.sa/projects/0/48274?amount=null
96,P49270,الكفالة التعليمية للطلاب المتعففين,"97,920ر.س",27/01/2025,68,المواطنون,"5,681",جمعية التنمية الأهلية في المحفر,موقق,https://ehsan.sa/projects/0/48271?amount=null
97,P49251,المستلزمات الطبية للمرضى المتعففين,"357,000ر.س",27/01/2025,119,المواطنون,"22,452",ذو النون للرعاية الصحية المنزلية,حائل,https://ehsan.sa/projects/0/48252?amount=null
98,P49269,توفير برادات المياه للأسر المتعففة,"157,500ر.س",27/01/2025,350,المواطنون والمقيمون بالمملكة,"13,714",جمعية ايخاء السكنية,رفحاء,https://ehsan.sa/projects/0/48270?amount=null
99,P49246,ترميم مساكن الأسر المتعففة,"255,000ر.س",27/01/2025,17,المواطنون,"17,152",الدعم السكني بعقلة الصقور,عقلة الصقور,https://ehsan.sa/projects/0/48249?amount=null
100,P49255,ترميم وتأهيل مغاسل الأموات,"100,000ر.س",27/01/2025,300,المواطنون والمقيمون بالمملكة,"7,459",جمعية الريحان لإكرام الموتى بمحافظة أملج,أملج,https://ehsan.sa/projects/0/48256?amount=null
101,P49249,تأثيث منازل المتعففين,"250,000ر.س",27/01/2025,307,المواطنون,"17,281",جمعية البرالخيرية بمركز العماير,عمائر ال حميدان,https://ehsan.sa/projects/0/48250?amount=null
102,P49283,دعم حلقات تحفيظ القرآن الكريم,"120,000ر.س",27/01/2025,115,المواطنون والمقيمون بالمملكة,"3,007",الجمعية الخيرية لتحفيظ القرآن الكريم بحائل,حائل,https://ehsan.sa/projects/0/48284?amount=null
103,P49263,رعاية وتأهيل أطفال ذوي الإعاقة,"84,500ر.س",26/01/2025,25,المواطنون,"6,101",جمعية ذوي اضطرابات النطق واللغة,الرياض,https://ehsan.sa/projects/0/48264?amount=null
104,P49260,جهاز منظم ضربات القلب لمريض متعفف,"46,000ر.س",26/01/2025,1,المواطنون والمقيمون بالمملكة,"1,064",جمعية رعاية مرضى القلب,الرياض,https://ehsan.sa/projects/0/48261?amount=null
105,P49256,دعم المقبلين على الزواج,"190,000ر.س",26/01/2025,38,المواطنون,"14,557",جمعية التنمية الاهلية بحقال,حقال,https://ehsan.sa/projects/0/48257?amount=null
106,P49271,أجهزة التدفئة للأسر المتعففة,"22,500ر.س",26/01/2025,99,المواطنون,"1,950",جمعية التيسير لموقوفي الخدمات,عسير,https://ehsan.sa/projects/0/48272?amount=null
107,P49252,دعم حلقات تحفيظ القرآن الكريم,"300,000ر.س",26/01/2025,62,المواطنون والمقيمون بالمملكة,"27,572",جمعية تحفيظ القران الكريم بالنماص,النماص,https://ehsan.sa/projects/0/48253?amount=null
108,P49259,عملية قلب مفتوح لمريض متعفف,"40,000ر.س",24/01/2025,1,المواطنون والمقيمون بالمملكة,"2,772",جمعية رعاية مرضى القلب,الرياض,https://ehsan.sa/projects/0/48260?amount=null
109,P49245,سداد إيجار منازل الأسر المتعففة,"181,200ر.س",24/01/2025,15,المواطنون,"10,298",جمعية نواره للترميم اتمام,الرياض,https://ehsan.sa/projects/0/48246?amount=null
110,P49233,دعم المقبلين على الزواج,"300,000ر.س",20/01/2025,30,المواطنون,"21,937",جمعية وتين الخير للتنمية الأسرية,الحناكية,https://ehsan.sa/projects/0/48234?amount=null
111,P49236,الرعاية الصحية لمرضى الفشل الكلوي,"242,000ر.س",19/01/2025,11,المواطنون والمقيمون بالمملكة,"17,026",جمعية سفانة الخيرية للخدمات الصحية بحائل,حائل,https://ehsan.sa/projects/0/48237?amount=null
112,P49206,تأثيث منازل المتعففين,"250,000ر.س",17/01/2025,307,المواطنون,"17,596",جمعية البرالخيرية بمركز العماير,عمائر ال حميدان,https://ehsan.sa/projects/0/48207?amount=null
113,P49196,الأجهزة الطبية للمتعففين,"410,000ر.س",16/01/2025,95,المواطنون والمقيمون بالمملكة,"34,136",جمعية عطاء الطبية بمحافظة صامطة,صامطة,https://ehsan.sa/projects/0/48197?amount=null
114,P49229,رحلات العمرة للمتعففين,"125,000ر.س",16/01/2025,500,المواطنون والمقيمون بالمملكة,"11,576",جمعية الدعوة والإرشاد وتوعية الجاليات بساحل الجعافرة,قوز الجعافرة,https://ehsan.sa/projects/0/48230?amount=null
115,P49237,سقيا الماء للمتعففين,"100,000ر.س",15/01/2025,"100,000",المواطنون والمقيمون بالمملكة,"10,042",جمعية التنمية الاهلية بحي الموظفين ومدينة سلطان,مدينة سلطان,https://ehsan.sa/projects/0/48238?amount=null
116,P49208,تموين الأسر المتعففة,"250,000ر.س",15/01/2025,242,المواطنون والمقيمون بالمملكة,"19,079",جمعية البر الخيرية بدليهان,موقق,https://ehsan.sa/projects/0/48209?amount=null
117,P49199,رعاية كبار السن المتعففين,"350,000ر.س",15/01/2025,32,المواطنون,"24,892",جمعية البر الخيرية بمركزي الصور ومهر بوادي ترج,بيشة,https://ehsan.sa/projects/0/48200?amount=null
118,P49209,توفير الأدوية للمرضى المتعففين,"150,000ر.س",15/01/2025,50,المواطنون,"10,626",جمعية التنمية الاهلية بحقال,حقال,https://ehsan.sa/projects/0/48210?amount=null
119,P49207,كفالة رواتب معلمي ومعلمات حلقات تحفيظ القرآن الكريم,"192,000ر.س",15/01/2025,96,المواطنون,"14,727",جمعية تحفيظ القرآن الكريم   بالمندق,المندق,https://ehsan.sa/projects/0/48208?amount=null
120,P49189,الأجهزة الكهربائية للأسر المتعففة,"270,000ر.س",14/01/2025,187,المواطنون,"23,386",جمعية البر الخيرية بالهمجة,النبهانية,https://ehsan.sa/projects/0/48190?amount=null
121,P49228,سقيا الماء للأسر المتعففة,"150,195ر.س",14/01/2025,589,المواطنون,"14,023",جمعية البر الأهلية بمحافظة الحجرة,الحجرة,https://ehsan.sa/projects/0/48229?amount=null
122,P49197,الرعاية الصحية للمرضى المتعففين,"300,000ر.س",13/01/2025,143,المواطنون,"20,189",جمعية أفق للعناية بالصحه النفسية والارتقاء بالسلوك,حائل,https://ehsan.sa/projects/0/48198?amount=null
123,P49215,كفالة الأرامل والمطلقات,"78,000ر.س",12/01/2025,26,المواطنون والمقيمون بالمملكة,"5,143",جمعية أيتام الخطة رفقاء,الخطة,https://ehsan.sa/projects/0/48216?amount=null
124,P49187,ترميم مساكن الأسر المتعففة,"375,000ر.س",12/01/2025,12,المواطنون,"18,101",جمعية البر الخيرية باليتمة,اليتمة,https://ehsan.sa/projects/0/48188?amount=null
125,P49218,أجهزة التدفئة للأسر المتعففة,"173,040ر.س",10/01/2025,206,المواطنون,"12,654",جمعية حواء النسائية,عقلة الصقور,https://ehsan.sa/projects/0/48219?amount=null
126,P49183,النقل المدرسي للطلاب والطالبات المتعففين,"150,000ر.س",10/01/2025,94,المواطنون والمقيمون بالمملكة,"15,464",جمعية الصديقة التعليمية,جدة,https://ehsan.sa/projects/0/48184?amount=null
